Beach Name,Water Temperature,Turbidity,Transducer Depth,Measurement ID
Ohio Street Beach,18,4.47,1.585,OhioStreetBeach201406122200
Rainbow Beach,17.2,2.27,1.43,RainbowBeach201406122200
Calumet Beach,17.4,1.43,1.344,CalumetBeach201406130500
63rd Street Beach,16.1,1.7,1.586,63rdStreetBeach201406130500
Montrose Beach,15.1,3.03,1.524,MontroseBeach201406130500
Osterman Beach,14.7,3.4,1.202,OstermanBeach201406130500
Ohio Street Beach,17,4.46,1.583,OhioStreetBeach201406130500
Rainbow Beach,16.5,2.52,1.343,RainbowBeach201406130500
Calumet Beach,17.8,1.22,1.447,CalumetBeach201406130100
63rd Street Beach,16.4,1.79,1.678,63rdStreetBeach201406130100
Montrose Beach,15.4,3.31,1.616,MontroseBeach201406130100
Osterman Beach,14.9,3.58,1.281,OstermanBeach201406130100
Ohio Street Beach,17.4,4.49,1.662,OhioStreetBeach201406130100
Rainbow Beach,16.9,2.21,1.478,RainbowBeach201406130100
Calumet Beach,17.6,1.33,1.429,CalumetBeach201406130200
63rd Street Beach,16.4,1.65,1.68,63rdStreetBeach201406130200
Montrose Beach,15.1,2.61,1.537,MontroseBeach201406130200
Osterman Beach,14.9,3.7,1.213,OstermanBeach201406130200
Ohio Street Beach,17.3,4.57,1.631,OhioStreetBeach201406130200
Rainbow Beach,16.9,2.27,1.465,RainbowBeach201406130200
Ohio Street Beach,17.1,4.35,1.617,OhioStreetBeach201406130400
Rainbow Beach,16.5,2.51,1.41,RainbowBeach201406130400
Calumet Beach,17.4,1.53,1.379,CalumetBeach201406130600
63rd Street Beach,16.1,1.58,1.599,63rdStreetBeach201406130600
Montrose Beach,15,3.06,1.511,MontroseBeach201406130600
Osterman Beach,14.7,3.9,1.192,OstermanBeach201406130600
Ohio Street Beach,16.9,4.42,1.552,OhioStreetBeach201406130600
Rainbow Beach,16.3,2.53,1.411,RainbowBeach201406130600
Calumet Beach,17.3,1.38,1.379,CalumetBeach201406130700
63rd Street Beach,15.9,1.5,1.602,63rdStreetBeach201406130700
Montrose Beach,14.9,2.85,1.564,MontroseBeach201406130700
Osterman Beach,14.7,3.67,1.25,OstermanBeach201406130700
Ohio Street Beach,16.8,4.48,1.589,OhioStreetBeach201406130700
Calumet Beach,17.4,1.37,1.415,CalumetBeach201406130800
63rd Street Beach,16,1.45,1.631,63rdStreetBeach201406130800
Montrose Beach,15,2.6,1.554,MontroseBeach201406130800
Osterman Beach,14.7,3.26,1.225,OstermanBeach201406130800
Ohio Street Beach,16.8,4.4,1.603,OhioStreetBeach201406130800
Rainbow Beach,16.3,2.53,1.413,RainbowBeach201406130800
Calumet Beach,17.5,1.31,1.41,CalumetBeach201406130900
63rd Street Beach,16.2,1.45,1.658,63rdStreetBeach201406130900
Montrose Beach,15.1,2.55,1.573,MontroseBeach201406130900
Osterman Beach,14.9,3.28,1.253,OstermanBeach201406130900
Ohio Street Beach,17,4.39,1.637,OhioStreetBeach201406130900
Rainbow Beach,16.4,2.68,1.45,RainbowBeach201406130900
Calumet Beach,17.7,1.11,1.394,CalumetBeach201406131000
63rd Street Beach,16.3,1.32,1.643,63rdStreetBeach201406131000
Montrose Beach,15.3,2.62,1.585,MontroseBeach201406131000
Osterman Beach,15.2,3.27,1.271,OstermanBeach201406131000
Ohio Street Beach,17.1,4.29,1.635,OhioStreetBeach201406131000
Rainbow Beach,16.5,2.84,1.43,RainbowBeach201406131000
Calumet Beach,17.9,1.15,1.445,CalumetBeach201406131100
63rd Street Beach,16.5,1.23,1.664,63rdStreetBeach201406131100
Montrose Beach,15.6,2.69,1.592,MontroseBeach201406131100
Osterman Beach,15.5,3.02,1.275,OstermanBeach201406131100
Ohio Street Beach,17.5,4.11,1.678,OhioStreetBeach201406131100
Rainbow Beach,16.7,2.25,1.45,RainbowBeach201406131100
Calumet Beach,18.2,1.16,1.387,CalumetBeach201406131200
63rd Street Beach,16.8,1.36,1.627,63rdStreetBeach201406131200
Montrose Beach,15.9,2.57,1.628,MontroseBeach201406131200
Osterman Beach,15.8,3.18,1.304,OstermanBeach201406131200
Ohio Street Beach,18.3,4.08,1.657,OhioStreetBeach201406131200
Rainbow Beach,17.2,2.71,1.414,RainbowBeach201406131200
Calumet Beach,18.4,1.11,1.437,CalumetBeach201406131300
63rd Street Beach,17.1,1.21,1.629,63rdStreetBeach201406131300
Montrose Beach,16.3,2.42,1.58,MontroseBeach201406131300
Osterman Beach,16.3,2.97,1.27,OstermanBeach201406131300
Ohio Street Beach,19.2,3.77,1.627,OhioStreetBeach201406131300
Rainbow Beach,17.9,2.88,1.415,RainbowBeach201406131300
Calumet Beach,18.6,1.21,1.391,CalumetBeach201406131400
63rd Street Beach,17.4,1.14,1.662,63rdStreetBeach201406131400
Montrose Beach,17.3,2.57,1.605,MontroseBeach201406131400
Osterman Beach,16.9,2.94,1.293,OstermanBeach201406131400
Ohio Street Beach,19.3,4.02,1.661,OhioStreetBeach201406131400
Rainbow Beach,18.2,2.94,1.442,RainbowBeach201406131400
Calumet Beach,20.3,1.34,1.406,CalumetBeach201406131600
63rd Street Beach,17.8,1.11,1.656,63rdStreetBeach201406131600
Montrose Beach,17.1,2.42,1.569,MontroseBeach201406131600
Osterman Beach,16.8,2.95,1.258,OstermanBeach201406131600
Ohio Street Beach,18.4,3.25,1.656,OhioStreetBeach201406131600
Rainbow Beach,18.3,1.85,1.435,RainbowBeach201406131600
Calumet Beach,20.3,1.19,1.371,CalumetBeach201406131700
63rd Street Beach,17.8,1.17,1.635,63rdStreetBeach201406131700
Montrose Beach,17,2.63,1.544,MontroseBeach201406131700
Osterman Beach,16.8,3.02,1.22,OstermanBeach201406131700
Ohio Street Beach,17.6,3.09,1.595,OhioStreetBeach201406131700
Calumet Beach,20.1,1.19,1.413,CalumetBeach201406131800
63rd Street Beach,17.6,1.18,1.63,63rdStreetBeach201406131800
Calumet Beach,18.9,1.02,1.361,CalumetBeach201406150100
Montrose Beach,16.7,2.63,1.547,MontroseBeach201406131800
Osterman Beach,16.9,3.06,1.241,OstermanBeach201406131800
Ohio Street Beach,17.3,2.85,1.61,OhioStreetBeach201406131800
Rainbow Beach,18.2,1.65,1.412,RainbowBeach201406131700
Calumet Beach,20,1.18,1.407,CalumetBeach201406131900
63rd Street Beach,17.4,1.15,1.629,63rdStreetBeach201406131900
Montrose Beach,16.4,2.51,1.547,MontroseBeach201406131900
Osterman Beach,16.8,3.2,1.219,OstermanBeach201406131900
Ohio Street Beach,16.9,2.73,1.585,OhioStreetBeach201406131900
Rainbow Beach,18,1.45,1.417,RainbowBeach201406131900
Calumet Beach,19.9,1.23,1.374,CalumetBeach201406132000
63rd Street Beach,17.1,1.17,1.583,63rdStreetBeach201406132000
Montrose Beach,16.1,2.39,1.539,MontroseBeach201406132000
Osterman Beach,16.8,3.22,1.209,OstermanBeach201406132000
Ohio Street Beach,16.4,2.48,1.595,OhioStreetBeach201406132000
Rainbow Beach,17.8,1.48,1.365,RainbowBeach201406132000
Calumet Beach,19.7,1.21,1.357,CalumetBeach201406132100
63rd Street Beach,17,1.12,1.621,63rdStreetBeach201406132100
Montrose Beach,16,2.45,1.546,MontroseBeach201406132100
Osterman Beach,16.8,3.27,1.237,OstermanBeach201406132100
Ohio Street Beach,16.1,2.31,1.624,OhioStreetBeach201406132100
Rainbow Beach,17.8,1.53,1.408,RainbowBeach201406132100
Calumet Beach,19.3,1.18,1.375,CalumetBeach201406132200
63rd Street Beach,16.9,1.08,1.607,63rdStreetBeach201406132200
Montrose Beach,16,2.51,1.535,MontroseBeach201406132200
Osterman Beach,16.8,3.19,1.212,OstermanBeach201406132200
Ohio Street Beach,16,2.28,1.592,OhioStreetBeach201406132200
Rainbow Beach,17.5,1.51,1.403,RainbowBeach201406132200
Calumet Beach,19.5,2.35,1.407,CalumetBeach201406132300
63rd Street Beach,16.8,1.14,1.671,63rdStreetBeach201406132300
Montrose Beach,15.9,2.51,1.576,MontroseBeach201406132300
Osterman Beach,16.7,3.09,1.262,OstermanBeach201406132300
Ohio Street Beach,15.9,2.13,1.637,OhioStreetBeach201406132300
Rainbow Beach,17.1,1.49,1.448,RainbowBeach201406132300
Calumet Beach,19,1.74,1.455,CalumetBeach201406142400
63rd Street Beach,17.4,1.11,1.642,63rdStreetBeach201406142400
Montrose Beach,15.8,2.64,1.544,MontroseBeach201406142400
Osterman Beach,16.6,3.13,1.211,OstermanBeach201406142400
Ohio Street Beach,15.9,2.09,1.64,OhioStreetBeach201406142400
Rainbow Beach,17,1.4,1.448,RainbowBeach201406142400
Calumet Beach,18.6,1.54,1.414,CalumetBeach201406140100
63rd Street Beach,17,1.07,1.684,63rdStreetBeach201406140100
Montrose Beach,15.8,2.45,1.62,MontroseBeach201406140100
Osterman Beach,16.5,3.1,1.306,OstermanBeach201406140100
Ohio Street Beach,15.9,2.17,1.653,OhioStreetBeach201406140100
Rainbow Beach,16.8,1.31,1.483,RainbowBeach201406140100
Calumet Beach,21.2,2.28,1.374,CalumetBeach201406162000
63rd Street Beach,18.9,0.48,1.6,63rdStreetBeach201406162000
Montrose Beach,17,0.45,1.542,MontroseBeach201406162000
Osterman Beach,17.1,0.83,1.209,OstermanBeach201406162000
Calumet Beach,18.5,1.13,1.455,CalumetBeach201406140200
63rd Street Beach,17,1.13,1.66,63rdStreetBeach201406140200
Montrose Beach,15.7,2.57,1.603,MontroseBeach201406140200
Osterman Beach,16.4,3,1.259,OstermanBeach201406140200
Ohio Street Beach,15.8,2.25,1.673,OhioStreetBeach201406140200
Rainbow Beach,16.7,1.3,1.443,RainbowBeach201406140200
Calumet Beach,18.4,1.07,1.469,CalumetBeach201406140300
63rd Street Beach,16.7,1.18,1.729,63rdStreetBeach201406140300
Calumet Beach,19.3,0.95,1.45,CalumetBeach201406141500
Montrose Beach,15.6,2.5,1.634,MontroseBeach201406140300
Osterman Beach,16.1,2.81,1.317,OstermanBeach201406140300
Ohio Street Beach,15.8,2.04,1.661,OhioStreetBeach201406140300
Rainbow Beach,16.6,1.31,1.524,RainbowBeach201406140300
Calumet Beach,18.3,1.03,1.413,CalumetBeach201406140400
63rd Street Beach,16.6,1.29,1.684,63rdStreetBeach201406140400
Montrose Beach,15.5,2.47,1.615,MontroseBeach201406140400
Osterman Beach,16,3.35,1.29,OstermanBeach201406140400
Ohio Street Beach,15.7,2.04,1.697,OhioStreetBeach201406140400
Rainbow Beach,16.5,1.26,1.457,RainbowBeach201406140400
Calumet Beach,20.4,1.37,1.415,CalumetBeach201406141800
63rd Street Beach,17.8,0.88,1.647,63rdStreetBeach201406141800
Montrose Beach,17.3,1.98,1.597,MontroseBeach201406141800
Osterman Beach,18,3.34,1.281,OstermanBeach201406141800
Ohio Street Beach,17.6,2.29,1.713,OhioStreetBeach201406141800
Rainbow Beach,17.3,0.92,1.451,RainbowBeach201406141800
Calumet Beach,20.3,1.32,1.32,CalumetBeach201406170400
63rd Street Beach,16.6,0.74,1.677,63rdStreetBeach201406170400
Calumet Beach,18.2,1.05,1.433,CalumetBeach201406140500
63rd Street Beach,16.5,1.11,1.653,63rdStreetBeach201406140500
Montrose Beach,15.5,2.46,1.602,MontroseBeach201406140500
Osterman Beach,15.9,3.23,1.281,OstermanBeach201406140500
Ohio Street Beach,15.7,2.02,1.69,OhioStreetBeach201406140500
Rainbow Beach,16.4,1.23,1.446,RainbowBeach201406140500
Calumet Beach,18.1,1.05,1.413,CalumetBeach201406140600
63rd Street Beach,16.4,1.1,1.694,63rdStreetBeach201406140600
Montrose Beach,15.5,2.51,1.586,MontroseBeach201406140600
Osterman Beach,15.9,3.07,1.259,OstermanBeach201406140600
Ohio Street Beach,15.6,1.96,1.624,OhioStreetBeach201406140600
Rainbow Beach,16.3,1.27,1.455,RainbowBeach201406140600
Calumet Beach,18.1,1,1.432,CalumetBeach201406140700
63rd Street Beach,16.4,1.06,1.654,63rdStreetBeach201406140700
Montrose Beach,15.6,2.64,1.555,MontroseBeach201406140700
Osterman Beach,15.8,2.86,1.245,OstermanBeach201406140700
Ohio Street Beach,15.8,1.91,1.656,OhioStreetBeach201406140700
Rainbow Beach,16.2,1.14,1.42,RainbowBeach201406140700
Calumet Beach,18.1,0.96,1.419,CalumetBeach201406140800
63rd Street Beach,16.5,1.05,1.638,63rdStreetBeach201406140800
Montrose Beach,15.6,2.36,1.59,MontroseBeach201406140800
Osterman Beach,15.9,2.85,1.271,OstermanBeach201406140800
Ohio Street Beach,15.8,1.85,1.657,OhioStreetBeach201406140800
Rainbow Beach,16.3,1.25,1.451,RainbowBeach201406140800
Calumet Beach,18.2,0.98,1.428,CalumetBeach201406140900
63rd Street Beach,16.6,1.05,1.641,63rdStreetBeach201406140900
Montrose Beach,15.9,2.51,1.593,MontroseBeach201406140900
Osterman Beach,16.1,2.75,1.279,OstermanBeach201406140900
Ohio Street Beach,16.1,1.92,1.639,OhioStreetBeach201406140900
Rainbow Beach,16.4,1.21,1.424,RainbowBeach201406140900
Calumet Beach,18.4,1.02,1.467,CalumetBeach201406141000
63rd Street Beach,16.7,0.99,1.685,63rdStreetBeach201406141000
Montrose Beach,16.2,2.25,1.625,MontroseBeach201406141000
Osterman Beach,16.5,2.77,1.31,OstermanBeach201406141000
Ohio Street Beach,16.5,1.74,1.639,OhioStreetBeach201406141000
Rainbow Beach,16.6,1.1,1.486,RainbowBeach201406141000
Calumet Beach,18.8,1.04,1.449,CalumetBeach201406141100
63rd Street Beach,17.1,0.95,1.664,63rdStreetBeach201406141100
Montrose Beach,16.8,2.15,1.636,MontroseBeach201406141100
Osterman Beach,16.9,2.64,1.311,OstermanBeach201406141100
Ohio Street Beach,17,1.98,1.696,OhioStreetBeach201406141100
Rainbow Beach,17.1,1.25,1.459,RainbowBeach201406141100
Calumet Beach,18.8,0.93,1.463,CalumetBeach201406141200
63rd Street Beach,17.4,0.97,1.665,63rdStreetBeach201406141200
Montrose Beach,16.7,2.03,1.612,MontroseBeach201406141200
Osterman Beach,16.7,2.55,1.294,OstermanBeach201406141200
Ohio Street Beach,17.1,2.01,1.665,OhioStreetBeach201406141200
Rainbow Beach,17.2,0.99,1.541,RainbowBeach201406141200
Calumet Beach,19,0.9,1.48,CalumetBeach201406141300
63rd Street Beach,17.8,1.05,1.733,63rdStreetBeach201406141300
Montrose Beach,16.9,2.01,1.622,MontroseBeach201406141300
Osterman Beach,16.8,2.49,1.302,OstermanBeach201406141300
Ohio Street Beach,18,2.12,1.702,OhioStreetBeach201406141300
Rainbow Beach,17.2,0.93,1.504,RainbowBeach201406141300
Calumet Beach,19.3,0.94,1.486,CalumetBeach201406141400
63rd Street Beach,17.8,0.96,1.714,63rdStreetBeach201406141400
Montrose Beach,17,1.94,1.628,MontroseBeach201406141400
Osterman Beach,17.2,2.53,1.326,OstermanBeach201406141400
Ohio Street Beach,18.3,2.32,1.73,OhioStreetBeach201406141400
Rainbow Beach,17.5,0.97,1.53,RainbowBeach201406141400
63rd Street Beach,17.6,0.93,1.731,63rdStreetBeach201406141500
Montrose Beach,17.1,1.99,1.643,MontroseBeach201406141500
Osterman Beach,17.6,2.72,1.314,OstermanBeach201406141500
Ohio Street Beach,18.1,2.21,1.696,OhioStreetBeach201406141500
Rainbow Beach,17.1,0.92,1.495,RainbowBeach201406141500
Calumet Beach,19.6,1.03,1.477,CalumetBeach201406141600
63rd Street Beach,17.7,0.94,1.683,63rdStreetBeach201406141600
Montrose Beach,17.3,1.98,1.658,MontroseBeach201406141600
Osterman Beach,17.8,2.88,1.34,OstermanBeach201406141600
Ohio Street Beach,18.2,2.42,1.739,OhioStreetBeach201406141600
Rainbow Beach,17.3,0.9,1.522,RainbowBeach201406141600
Calumet Beach,19.5,1.23,1.497,CalumetBeach201406142200
63rd Street Beach,17.5,0.93,1.692,63rdStreetBeach201406142200
Montrose Beach,16.8,1.8,1.628,MontroseBeach201406142200
Osterman Beach,17.5,3.46,1.281,OstermanBeach201406142200
Calumet Beach,20.3,0.98,1.489,CalumetBeach201406141700
63rd Street Beach,17.8,0.91,1.732,63rdStreetBeach201406141700
Montrose Beach,17.4,1.98,1.616,MontroseBeach201406141700
Osterman Beach,17.8,3.19,1.326,OstermanBeach201406141700
Ohio Street Beach,18.4,2.53,1.649,OhioStreetBeach201406141700
Rainbow Beach,17.4,0.87,1.485,RainbowBeach201406141700
Calumet Beach,20.5,1.48,1.447,CalumetBeach201406141900
63rd Street Beach,17.8,0.9,1.694,63rdStreetBeach201406141900
Montrose Beach,17.2,1.9,1.627,MontroseBeach201406141900
Osterman Beach,17.4,2.96,1.301,OstermanBeach201406141900
Ohio Street Beach,17.3,2.14,1.63,OhioStreetBeach201406141900
Rainbow Beach,17.2,0.91,1.481,RainbowBeach201406141900
Calumet Beach,20.2,1.47,1.46,CalumetBeach201406142000
63rd Street Beach,17.7,0.93,1.626,63rdStreetBeach201406142000
Montrose Beach,17.1,1.89,1.577,MontroseBeach201406142000
Osterman Beach,17.4,3.01,1.235,OstermanBeach201406142000
Ohio Street Beach,17.1,2.16,1.653,OhioStreetBeach201406142000
Rainbow Beach,17.1,0.88,1.438,RainbowBeach201406142000
Calumet Beach,18.5,1.04,1.446,CalumetBeach201406150300
63rd Street Beach,16.8,1,1.725,63rdStreetBeach201406150300
Montrose Beach,16.5,1.56,1.653,MontroseBeach201406150300
Osterman Beach,16.8,2.79,1.341,OstermanBeach201406150300
Ohio Street Beach,16.4,1.94,1.7,OhioStreetBeach201406150300
Rainbow Beach,15.9,0.76,1.518,RainbowBeach201406150300
Calumet Beach,18.4,1.02,1.465,CalumetBeach201406150400
63rd Street Beach,16.7,1.07,1.695,63rdStreetBeach201406150400
Calumet Beach,19.8,1.25,1.398,CalumetBeach201406142100
63rd Street Beach,17.6,0.91,1.656,63rdStreetBeach201406142100
Montrose Beach,16.8,1.91,1.625,MontroseBeach201406142100
Osterman Beach,17.7,3.64,1.33,OstermanBeach201406142100
Ohio Street Beach,17,2.03,1.642,OhioStreetBeach201406142100
Rainbow Beach,17.1,0.97,1.465,RainbowBeach201406142100
Calumet Beach,19.3,1.28,1.532,CalumetBeach201406142300
63rd Street Beach,17.3,0.93,1.683,63rdStreetBeach201406142300
Montrose Beach,16.8,1.89,1.589,MontroseBeach201406142300
Osterman Beach,17.4,3.38,1.274,OstermanBeach201406142300
Ohio Street Beach,16.8,1.82,1.64,OhioStreetBeach201406142300
Ohio Street Beach,16.9,1.91,1.657,OhioStreetBeach201406142200
Rainbow Beach,16.8,0.95,1.467,RainbowBeach201406142200
Calumet Beach,18.2,1.05,1.474,CalumetBeach201406150700
63rd Street Beach,16.5,0.84,1.747,63rdStreetBeach201406150700
Montrose Beach,16.3,1.53,1.619,MontroseBeach201406150700
Osterman Beach,16.5,2.88,1.291,OstermanBeach201406150700
Ohio Street Beach,16.4,1.55,1.69,OhioStreetBeach201406150700
Rainbow Beach,15.5,0.68,1.504,RainbowBeach201406150700
Calumet Beach,19.2,1.15,1.459,CalumetBeach201406152400
63rd Street Beach,17.1,0.88,1.703,63rdStreetBeach201406152400
Montrose Beach,16.7,1.76,1.628,MontroseBeach201406152400
Osterman Beach,17.1,3,1.296,OstermanBeach201406152400
Ohio Street Beach,16.7,1.87,1.653,OhioStreetBeach201406152400
Rainbow Beach,16.6,0.85,1.495,RainbowBeach201406152400
Calumet Beach,18.3,1.11,1.412,CalumetBeach201406150900
63rd Street Beach,16.6,0.74,1.627,63rdStreetBeach201406150900
Montrose Beach,16.6,1.38,1.554,MontroseBeach201406150900
Osterman Beach,16.6,4.82,1.246,OstermanBeach201406150900
Ohio Street Beach,16.7,1.96,1.625,OhioStreetBeach201406150900
63rd Street Beach,17,1,1.669,63rdStreetBeach201406150100
Montrose Beach,16.6,1.69,1.641,MontroseBeach201406150100
Osterman Beach,16.8,2.54,1.31,OstermanBeach201406150100
Ohio Street Beach,16.7,1.96,1.714,OhioStreetBeach201406150100
Rainbow Beach,16.3,0.87,1.42,RainbowBeach201406150100
Calumet Beach,18.7,0.96,1.457,CalumetBeach201406150200
63rd Street Beach,16.9,0.96,1.675,63rdStreetBeach201406150200
Montrose Beach,16.5,1.7,1.58,MontroseBeach201406150200
Osterman Beach,16.9,2.82,1.259,OstermanBeach201406150200
Ohio Street Beach,16.5,1.79,1.675,OhioStreetBeach201406150200
Rainbow Beach,16.1,0.79,1.478,RainbowBeach201406150200
Calumet Beach,18.2,1.14,1.397,CalumetBeach201406150800
63rd Street Beach,16.5,0.79,1.667,63rdStreetBeach201406150800
Montrose Beach,16.4,1.46,1.594,MontroseBeach201406150800
Osterman Beach,16.5,3.18,1.285,OstermanBeach201406150800
Ohio Street Beach,16.5,1.48,1.64,OhioStreetBeach201406150800
Rainbow Beach,15.5,0.65,1.435,RainbowBeach201406150800
Calumet Beach,18.9,1.01,1.389,CalumetBeach201406151400
63rd Street Beach,16.9,0.88,1.65,63rdStreetBeach201406151400
Montrose Beach,17.4,1.38,1.601,MontroseBeach201406151400
Osterman Beach,17.6,5.26,1.315,OstermanBeach201406151400
Ohio Street Beach,16.9,1.66,1.594,OhioStreetBeach201406151400
Montrose Beach,16.4,1.54,1.607,MontroseBeach201406150400
Osterman Beach,16.7,3.6,1.285,OstermanBeach201406150400
Ohio Street Beach,16.4,1.83,1.668,OhioStreetBeach201406150400
Rainbow Beach,15.7,0.77,1.507,RainbowBeach201406150400
Calumet Beach,18.3,1,1.481,CalumetBeach201406150500
63rd Street Beach,16.5,0.9,1.689,63rdStreetBeach201406150500
Montrose Beach,16.4,1.64,1.633,MontroseBeach201406150500
Osterman Beach,16.6,2.79,1.302,OstermanBeach201406150500
Ohio Street Beach,16.4,1.89,1.728,OhioStreetBeach201406150500
Rainbow Beach,15.6,0.73,1.484,RainbowBeach201406150500
Calumet Beach,18.2,1,1.433,CalumetBeach201406150600
63rd Street Beach,16.5,0.84,1.684,63rdStreetBeach201406150600
Montrose Beach,16.4,1.53,1.653,MontroseBeach201406150600
Osterman Beach,16.5,2.67,1.338,OstermanBeach201406150600
Ohio Street Beach,16.4,1.67,1.704,OhioStreetBeach201406150600
Rainbow Beach,15.5,0.65,1.457,RainbowBeach201406150600
Calumet Beach,18.5,1.27,1.423,CalumetBeach201406151000
63rd Street Beach,16.8,0.61,1.673,63rdStreetBeach201406151000
Montrose Beach,16.8,1.34,1.571,MontroseBeach201406151000
Osterman Beach,16.7,5.66,1.226,OstermanBeach201406151000
Ohio Street Beach,16.8,1.73,1.611,OhioStreetBeach201406151000
Rainbow Beach,15.9,0.62,1.46,RainbowBeach201406151000
Calumet Beach,18.8,1.05,1.337,CalumetBeach201406151200
63rd Street Beach,17.1,0.75,1.611,63rdStreetBeach201406151200
Calumet Beach,18.6,1.09,1.414,CalumetBeach201406151100
63rd Street Beach,16.9,0.73,1.644,63rdStreetBeach201406151100
Montrose Beach,17,1.25,1.543,MontroseBeach201406151100
Osterman Beach,17,5.22,1.189,OstermanBeach201406151100
Ohio Street Beach,16.8,1.65,1.638,OhioStreetBeach201406151100
Rainbow Beach,16.1,0.63,1.466,RainbowBeach201406151100
Calumet Beach,18.1,0.92,1.567,CalumetBeach201406160600
63rd Street Beach,16.7,0.55,1.758,63rdStreetBeach201406160600
Montrose Beach,16.9,1.44,1.683,MontroseBeach201406160600
Osterman Beach,16.5,1.27,1.349,OstermanBeach201406160600
Ohio Street Beach,17.2,1.59,1.73,OhioStreetBeach201406160600
Rainbow Beach,16.4,0.64,1.559,RainbowBeach201406160600
Calumet Beach,19.8,0.95,1.434,CalumetBeach201406161200
63rd Street Beach,18.4,0.5,1.651,63rdStreetBeach201406161200
Montrose Beach,18.4,1,1.59,MontroseBeach201406161200
Osterman Beach,18,0.9,1.257,OstermanBeach201406161200
Ohio Street Beach,19.2,1.79,1.655,OhioStreetBeach201406161200
Rainbow Beach,18.4,0.52,1.442,RainbowBeach201406161200
Calumet Beach,19.7,1.16,1.486,CalumetBeach201406161400
63rd Street Beach,18.5,0.45,1.745,63rdStreetBeach201406161400
Montrose Beach,18.1,0.88,1.697,MontroseBeach201406161400
Osterman Beach,18.5,0.77,1.374,OstermanBeach201406161400
Ohio Street Beach,18.7,1.87,1.753,OhioStreetBeach201406161400
Calumet Beach,19.6,1.15,1.347,CalumetBeach201406170700
63rd Street Beach,15.8,0.46,1.603,63rdStreetBeach201406170700
Montrose Beach,17.2,1.26,1.564,MontroseBeach201406151200
Osterman Beach,17.3,4.38,1.233,OstermanBeach201406151200
Ohio Street Beach,16.8,1.7,1.612,OhioStreetBeach201406151200
Rainbow Beach,16.3,0.62,1.384,RainbowBeach201406151200
Calumet Beach,18.9,1.12,1.453,CalumetBeach201406151300
63rd Street Beach,17,0.82,1.631,63rdStreetBeach201406151300
Montrose Beach,17.3,1.3,1.561,MontroseBeach201406151300
Osterman Beach,17.4,4.43,1.224,OstermanBeach201406151300
Ohio Street Beach,16.8,1.65,1.592,OhioStreetBeach201406151300
Rainbow Beach,16.4,0.62,1.429,RainbowBeach201406151300
Calumet Beach,19.1,1,1.394,CalumetBeach201406151500
63rd Street Beach,17.1,0.78,1.56,63rdStreetBeach201406151500
Montrose Beach,17.6,1.44,1.592,MontroseBeach201406151500
Osterman Beach,17.9,5.22,1.242,OstermanBeach201406151500
Ohio Street Beach,17.2,1.78,1.602,OhioStreetBeach201406151500
Calumet Beach,19.2,1,1.462,CalumetBeach201406151600
63rd Street Beach,17.4,0.79,1.702,63rdStreetBeach201406151600
Montrose Beach,17.7,1.46,1.662,MontroseBeach201406151600
Osterman Beach,18,4.05,1.353,OstermanBeach201406151600
Ohio Street Beach,17.4,1.59,1.707,OhioStreetBeach201406151600
Rainbow Beach,16.9,0.81,1.386,RainbowBeach201406151500
Calumet Beach,19.4,1.18,1.4,CalumetBeach201406151700
63rd Street Beach,17.5,0.81,1.611,63rdStreetBeach201406151700
Montrose Beach,18.2,1.37,1.57,MontroseBeach201406151700
Calumet Beach,19.7,1.29,1.496,CalumetBeach201406161500
63rd Street Beach,18.5,0.49,1.742,63rdStreetBeach201406161500
Osterman Beach,18.2,4.54,1.247,OstermanBeach201406151700
Ohio Street Beach,17.7,1.73,1.603,OhioStreetBeach201406151700
Rainbow Beach,17.2,1.03,1.438,RainbowBeach201406151700
Calumet Beach,19.1,0.97,1.53,CalumetBeach201406152300
63rd Street Beach,17.4,0.74,1.683,63rdStreetBeach201406152300
Montrose Beach,17.6,1.76,1.548,MontroseBeach201406152300
Osterman Beach,18,2.35,1.257,OstermanBeach201406152300
Ohio Street Beach,17.3,1.76,1.669,OhioStreetBeach201406152300
Rainbow Beach,16.8,0.83,1.479,RainbowBeach201406152300
Calumet Beach,19.5,1.11,1.44,CalumetBeach201406151800
63rd Street Beach,17.5,0.83,1.6,63rdStreetBeach201406151800
Montrose Beach,18.2,1.28,1.605,MontroseBeach201406151800
Osterman Beach,18.4,3.46,1.25,OstermanBeach201406151800
Ohio Street Beach,17.4,1.74,1.633,OhioStreetBeach201406151800
Rainbow Beach,17.4,1.07,1.417,RainbowBeach201406151800
Calumet Beach,18.4,0.92,1.437,CalumetBeach201406160200
63rd Street Beach,17.1,0.75,1.717,63rdStreetBeach201406160200
Montrose Beach,17.3,1.74,1.649,MontroseBeach201406160200
Osterman Beach,17.2,1.85,1.316,OstermanBeach201406160200
Ohio Street Beach,17.3,1.65,1.664,OhioStreetBeach201406160200
Rainbow Beach,16.5,0.84,1.504,RainbowBeach201406160200
Calumet Beach,19.3,0.91,1.443,CalumetBeach201406161100
63rd Street Beach,18.2,0.5,1.705,63rdStreetBeach201406161100
Montrose Beach,18.1,0.89,1.629,MontroseBeach201406161100
Osterman Beach,17.8,0.88,1.301,OstermanBeach201406161100
Ohio Street Beach,19.2,1.63,1.704,OhioStreetBeach201406161100
Rainbow Beach,18.1,0.57,1.501,RainbowBeach201406161100
